label,x,y
M000,224.24,226.06
M001,224.3,226.11
M002,224.24,225.97
M003,224.35,225.88
M004,224.34,225.67
M005,224.23,225.72
M006,224.05,225.97
M007,223.92,225.68
M008,223.62,225.59
M009,223.78,226.08
M010,223.35,226.17
M011,223.73,226.25
M012,223.59,226.42
M013,223.35,226.7
M014,223.53,226.91
M015,223.81,226.73
M016,223.75,226.99
M017,224.08,226.76
M018,223.94,226.39
M019,223.73,226.56
M020,223.83,226.33
M021,224.47,225.09
M022,225.38,225.05
M023,224.96,225.12
M024,225.69,225.21
M025,225.57,225.78
M026,224.93,225.91
M027,224.58,226.32
M028,224.59,226
M029,224.57,225.86
M030,224.66,226.81
M031,224.48,227.03
M032,224.28,227.75
M033,225.68,228.54
M034,223.99,227.3
M035,223.58,227.3
M036,223.32,227.24
M037,222.94,227.11
M038,222.98,226.52
M039,222.86,226.63
M040,223.08,225.69
M041,223.67,224.91
M042,224.28,224.8
M043,225.54,224.17
M044,227.74,223.79
M045,228.66,220.68
M046,231.49,222.73
M047,224.53,224.09
M048,236.15,219.16
M049,232.32,215.29
M050,226.44,219.31
M051,224.43,223.09
M052,223.07,223.66
M053,221.62,225.43
M054,221.95,228.61
M055,222.75,230
M056,222.89,231.46
M057,231.84,229.13
M058,225.92,236.58
M059,219.79,238.12
M060,214.15,235.69
M061,219.27,224.73
M062,221.45,220.2
M063,226.62,214.46
SKA001,223.17,227.7
SKA002,224.7,225.98
SKA003,225,225.76
SKA004,198.1,487.33
SKA005,437.37,92.15
SKA006,400.12,157.86
SKA007,359.43,206.05
SKA008,475.84,0
SKA009,319.78,243.68
SKA010,289.71,256.06
SKA011,151.57,454.06
SKA012,264.78,268.7
SKA013,240.63,275.99
SKA014,226.26,269.31
SKA015,255.84,210.44
SKA016,262.9,195.68
SKA017,249.06,219.69
SKA018,242.8,224.77
SKA019,267.49,180.07
SKA020,236.85,232.09
SKA021,131.55,408.76
SKA022,212.96,267.74
SKA023,231.3,233.77
SKA024,227.9,233.3
SKA025,268.26,164.51
SKA026,226.08,233.48
SKA027,210.4,259.27
SKA028,229.78,222.83
SKA029,228.9,224.08
SKA030,227.82,225.36
SKA031,230.82,220.15
SKA032,223.24,232.93
SKA033,226.19,226.8
SKA034,231.29,217.53
SKA035,226.4,225.66
SKA036,225.31,226.85
SKA037,222.11,231.82
SKA038,225.84,225.37
SKA039,225.22,226.27
SKA040,226.78,223.73
SKA041,225.2,225.57
SKA042,224.47,226.57
SKA043,225.49,224.77
SKA044,224.67,226.16
SKA045,223.07,228.66
SKA046,224.43,226.3
SKA047,225.07,225.16
SKA048,224.72,225.69
SKA049,224.49,226.05
SKA050,224.32,226.3
SKA051,224.41,226.14
SKA052,224.63,225.76
SKA053,224.48,225.96
SKA054,223.76,227.14
SKA055,224.74,225.45
SKA056,224.39,226.05
SKA057,224.51,225.84
SKA058,224.62,225.63
SKA059,224.26,226.21
SKA060,231.08,214.62
SKA061,224.01,226.64
SKA062,224.41,225.92
SKA063,225.79,223.53
SKA064,224.5,225.71
SKA065,224.44,225.81
SKA066,224.14,226.27
SKA067,224.01,226.45
SKA068,224.56,225.49
SKA069,224.42,225.72
SKA070,221.68,230.39
SKA071,224.17,226.14
SKA072,224.45,225.61
SKA073,224.27,225.87
SKA074,224.3,225.77
SKA075,224.11,226.07
SKA076,224.04,226.17
SKA077,224.77,224.9
SKA078,224.38,225.57
SKA079,224.14,225.96
SKA080,224.19,225.86
SKA081,223.92,226.25
SKA082,224,226.08
SKA083,225.08,224.2
SKA084,224.35,225.43
SKA085,224.24,225.6
SKA086,224.07,225.87
SKA087,224.14,225.67
SKA088,223.94,225.94
SKA089,223.57,226.57
SKA090,224.26,225.12
SKA091,223.8,225.86
SKA092,223.09,227.02
SKA093,224.01,225.43
SKA094,223.59,226.04
SKA095,224.2,224.71
SKA096,221.46,229.36
SKA097,223.41,225.89
SKA098,224.46,224
SKA099,223.13,226.18
SKA100,222.21,227.32
SKA101,222.67,225.94
SKA102,224.01,223.44
SKA103,223.2,224.56
SKA104,221.73,226.59
SKA105,206.04,251.65
SKA106,224.05,222.25
SKA107,229.86,211.64
SKA108,222.76,222.27
SKA109,220.97,223.09
SKA110,206.82,244.59
SKA111,218.92,224.19
SKA112,265.56,147.67
SKA113,227.24,208.97
SKA114,215.75,226.79
SKA115,209.27,239.3
SKA116,213.81,228.97
SKA117,212.98,233.07
SKA118,222.54,208.76
SKA119,215.26,207.71
SKA120,133.86,354.52
SKA121,206.51,210.76
SKA122,250.83,130.54
SKA123,194.23,211.31
SKA124,126.34,324.01
SKA125,181.89,220.16
SKA126,169.84,234.13
SKA127,135.17,289.57
SKA128,150.12,272.36
SKA129,230.5,113.03
SKA130,201.16,94.65
SKA131,142.46,111.01
SKA132,88.69,130.47
SKA133,0,186.12